Designator,Footprint,Quantity,Value,LCSC Part #
"ANT0, ANT1, ANT5",SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,3,Antenna_Shield,
ANT4,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,Antenna,
BT1,MYOUNG MY-927-01,1,Battery,
"C10, C11, C8, C9",0603,4,10uF,
"C14, C15, C16, C20",0603,4,1uF,
"C17, C18, C19, C21, C22, C23, C24, C27, C33, C37, C44, C49",0603,12,100nF,
"C28, C29, C30",0805,3,1uF,
C32,0603,1,22n,
"C34, C39",0603,2,270p,
C36,0603,1,18pF,
"C38, C40, C41, C43, C46, C47",0603,6,27pF,
C42,0603,1,22pF,
C45,0805,1,100nF,
C48,0603,1,470nF,
D2,LED_WS2812B-4020,1,WS2812B-4020,
"D6, D7",SOT-23W,2,BAV99,
IC1,SOIC127P600X175-16N,1,SI4732-A10-GS,
IC2,SOP50P490X110-10N,1,TCA9537DGSR,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J2,PinHeader_1x05_P2.54mm_Vertical_SMD_Pin1Right,1,Conn_01x05,
J3,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,1,Headphones,
J5,PinHeader_1x07_P2.54mm_Vertical,1,DISP LEFT,
J6,PinHeader_1x07_P2.54mm_Vertical,1,DISP RIGHT,
"J7, J9",PinHeader_1x02_P2.00mm_Vertical,2,Conn_01x02_Pin,
J8,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,
"L1, L2, L3, L6",0805,4,56nH,
L4,0805,1,180nH,
L5,0805,1,4.7uH,
L7,0603,1,4.7uH,
Q2,SOT-23,1,2N7002,
Q3,SOT-23,1,2SK508G-K51-AE3-R,
"R1, R18, R20, R34, R47, R52",0603,6,10k,
"R10, R11, R48",0603,3,100R,
"R12, R13, R24, R25",0603,4,10K,C17414
R14,0603,1,N.C.,
R15,0603,1,0R,C17414
"R16, R7",0603,2,100K,
R17,0603,1,680K,
"R19, R50",0603,2,1M,
"R2, R23, R26, R28, R39, R45, R53, R8, R9",0603,9,0R,
R21,0603,1,330K,
R22,0603,1,22,
R27,0603,1,N.C.,C17414
"R38, R40, R41",0603,3,2k,
R42,0603,1,600R,
R44,0805,1,10k,
R46,0805,1,0R,
R49,0603,1,5.1k,
R51,0805,1,5.1k,
S1,SSCM110100,1,SSCM110100,
SW1,SW-SMD_4P-CORR-L5.2-W5.2-P3.70-LS6.4,1,SW_Push,
"T1, T10, T11, T5, T6, T7, T8, T9",TestPoint_Pad_D1.0mm,8,TestPoint,
U+1,TestPoint_Pad_D1.0mm,1,U+,
U-1,TestPoint_Pad_D1.0mm,1,U-,
U1,Heltec_HT-CT62,1,HT-CT62,
"U11, U6",SOT-23-5,2,RT9013,
U13,GC9A01_Touch_IPS_display_reversed_16pin,1,~,
U2,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME690,
U4,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,
U5,QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,TPA6130A2RTJTR,  TPA6130A2RTJTR
"U7, U8",TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,2,MAX98357AETE+T,
U9,SSOP-24_3.9x8.7mm_P0.635mm,1,Si4735-D60-GU,
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322525MMB4SI,
Y1,MSOP-10_3x3mm_P0.5mm,1,Si5351A-B-GT,
Y2,RV3032C7,1,RV-3032-C7,
