Designator,Mid X,Mid Y,Rotation,Layer
ANT0,79.232281,-105.938565,205.0,top
ANT1,79.856396,-94.94743,165.0,top
ANT4,108.670873,-118.83113,290.0,top
ANT5,88.84,-118.7,240.0,top
BT1,99.35,-119.26,182.0,bottom
C10,115.06,-105.4275,270.0,top
C11,115.19,-102.1075,270.0,top
C14,109.72,-103.47,180.0,top
C15,113.51,-95.12,90.0,top
C16,95.86,-83.98,90.0,top
C17,82.345001,-95.45,0.0,top
C18,107.735,-101.62,0.0,top
C19,112.0,-95.12,90.0,top
C20,105.47,-98.49,90.0,top
C21,110.429,-95.12,90.0,top
C22,104.77,-83.4075,90.0,top
C23,104.71,-113.41,270.0,top
C24,89.095,-87.46,0.0,top
C27,108.84,-115.34,0.0,top
C28,103.46,-98.61,90.0,top
C29,110.98,-101.25,270.0,bottom
C30,111.36,-98.27,180.0,bottom
C32,100.54,-107.43,270.0,top
C33,106.73,-103.86,0.0,top
C34,113.36,-92.0,270.0,top
C36,90.34,-109.69,0.0,top
C37,102.75,-106.68,0.0,top
C38,85.36,-96.83,0.0,top
C39,111.83,-92.0,270.0,top
C40,87.51,-101.28,0.0,top
C41,86.71,-103.595,270.0,top
C42,108.44,-106.26,0.0,top
C43,84.44,-103.76,0.0,top
C44,102.77,-108.17,0.0,top
C45,88.17,-113.6075,90.0,bottom
C46,84.41,-102.2,0.0,top
C47,83.97,-106.205,270.0,top
C48,91.18,-114.04,270.0,top
C49,89.12,-90.46,90.0,top
C8,111.99,-104.39,270.0,top
C9,113.54,-104.39,270.0,top
D2,112.303027,-83.77516,38.0,bottom
D6,107.19,-118.93,340.0,bottom
D7,88.39077,-116.38,30.0,bottom
IC1,110.68,-110.85,90.0,top
IC2,112.69,-93.57,0.0,bottom
J1,98.64,-98.22,270.0,bottom
J2,86.965,-95.87,180.0,bottom
J3,109.325,-86.1,180.0,top
J5,92.149697,-90.67,0.0,bottom
J6,107.649697,-90.67,0.0,bottom
J7,101.06,-80.67,90.0,top
J8,116.828092,-108.669781,295.0,bottom
J9,96.62,-80.17,90.0,top
L1,84.97,-99.5,270.0,top
L2,81.9,-100.48,180.0,top
L3,81.86,-103.35,270.0,top
L4,89.54,-107.94,0.0,top
L5,89.32,-114.415,270.0,top
L6,90.27,-111.55,180.0,top
L7,113.07,-115.32,180.0,top
Q2,103.445,-84.05,90.0,bottom
Q3,93.8975,-115.97,0.0,top
R1,118.46,-94.55,270.0,top
R10,115.11,-95.16,90.0,top
R11,110.31,-92.0,90.0,top
R12,100.4,-120.32,0.0,top
R13,102.66,-119.42,270.0,top
R14,102.13,-93.78,0.0,top
R15,98.1,-119.27,270.0,top
R16,100.84,-83.39,270.0,top
R17,103.72,-89.85,0.0,top
R18,100.92,-83.475,270.0,bottom
R19,104.79,-81.15,0.0,bottom
R2,100.39,-118.74,180.0,top
R20,95.65,-83.09,180.0,bottom
R21,98.31,-83.55,180.0,top
R22,99.27,-83.39,270.0,bottom
R23,118.23,-107.6,270.0,top
R24,100.28,-102.8675,90.0,top
R25,98.77,-102.7,90.0,top
R26,104.73,-110.39,270.0,top
R27,96.56,-119.2825,270.0,top
R28,104.99,-106.4,90.0,top
R34,96.06,-85.69,0.0,bottom
R38,105.79,-115.69,0.0,top
R39,116.7,-108.61,90.0,top
R40,95.56,-102.73,270.0,top
R41,93.82,-102.71,270.0,top
R42,97.24,-102.71,90.0,top
R44,88.14,-109.83,270.0,bottom
R45,102.44,-112.13,180.0,top
R46,102.05,-110.37,0.0,top
R47,110.52,-104.695,270.0,bottom
R48,96.63,-115.81,90.0,top
R49,112.81,-104.56,0.0,bottom
R50,91.06,-117.05,270.0,top
R51,110.85,-112.98,90.0,bottom
R52,111.4,-96.28,180.0,bottom
R53,105.5,-101.53,90.0,top
R7,102.4675,-91.44,0.0,top
R8,116.91,-92.39,90.0,top
R9,114.91,-92.2,90.0,top
S1,113.847701,-87.335303,310.0,top
SW1,84.496161,-103.746339,62.0,bottom
U1,99.79,-108.56,270.0,bottom
U11,113.6625,-101.56,270.0,bottom
U13,99.83,-91.55,0.0,bottom
U2,88.9,-84.92,0.0,top
U4,89.0,-85.13,0.0,bottom
U5,111.86,-99.36,180.0,top
U6,102.7225,-102.59,90.0,top
U7,102.56,-86.892,0.0,top
U8,96.592,-87.84,90.0,top
U9,95.8,-109.5725,270.0,top
X1,88.85,-98.33,270.0,top
Y1,87.07,-94.31,90.0,top
Y2,101.92,-114.89,0.0,top
